readsum,Group.1,Alburnus alburnus,Anatinae,Balaena mysticetus,Balaenoptera,Bilateria,Bimastos rubidus,Canis,Canis lupus,Cepphus grylle,Cervidae,Chamaedrilus sphagnetorum,Clangula hyemalis,Corvus,Cottus,Dicrostonyx torquatus,Epirinus aquilus,Gadidae,Gorilla gorilla,Homo heidelbergensis,Lagopus muta,Laridae,Lepus,Lepus granatensis,Leuciscidae,Leuciscinae,Lotidae,Melanogrammus aeglefinus,Merlangius merlangus,Molva molva,Mysticeti,Odobenus rosmarus,Odobenus rosmarus rosmarus,Odocoileinae,Odocoileus,Odocoileus hemionus hemionus,Ovis,Pan troglodytes,Phascolosoma esculenta,Phocidae,Phocoena phocoena,Pollachius virens,Pudu puda,Pusa,Pusa hispida,Rangifer tarandus,Somateria,Somateria spectabilis,Sus,Sus scrofa,Tetraoninae,Uria aalge,Ursus,Vulpes lagopus,Zoarcales
186496,BBO214BR3,0,0,0,0,51114,0,0,0,0,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23070,BBO215BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39977,BBO215BR2,0,0,0,0,16348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23404,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0
50986,BBO215BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9764,0,0,0,0,0,0,0,0,0,0,0,0,0,3038,0,0,0,0,0,0,38184,0,0
19888,BBO216BR1,0,0,0,0,8232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11656,0,0,0,0,0,0,0,0,0
34537,BBO216BR2,0,0,0,0,6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1615,0,0,0,0,26547,0,0,0,0,0,0,0,0,0
36166,BBO217BR1,0,0,27144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7901,0,0,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52379,BBO217BR2,0,0,3958,0,0,0,0,0,0,0,0,0,0,0,0,0,4304,0,0,0,0,0,0,0,0,0,36426,0,0,0,0,0,0,0,0,0,0,0,0,3504,0,0,0,0,4187,0,0,0,0,0,0,0,0,0
51851,BBO217BR3,0,0,8508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24451,0,0,0,9742,0,0,0,0,0,0,0,0,0,0,0,0,0,9150,0,0,0,0,0,0,0,0,0
42145,BBO218BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27270,0,0,0,0,0,0,0,0,0,0,0,0,0,14875,0,0,0,0,0,0,0,0,0
32236,BBO218BR2,0,0,0,0,2358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4532,0,0,0,14153,0,0,0,0,0,0,0,0,0,0,0,0,0,11193,0,0,0,0,0,0,0,0,0
32345,BBO218BR3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16897,0,0,0,0,0,0,0,0,0,0,207,0,0,15241,0,0,0,0,0,0,0,0,0
25853,BBO219BR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13512,0,0,0,0,0,0,315,0,0
51769,BBO219BR2,0,0,0,0,2606,0,0,0,0,0,0,947,0,0,9556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8640,0,0,0,0,0,0,0,0,0,0,0,0,0,3490,26290,0,0,0,0,240,0,0,0,0
55433,BBO219BR3,0,0,0,0,383,0,0,0,0,0,0,0,0,0,10606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11175,3057,0,0,0,0,0,0,0,0,0,0,0,0,1143,22862,0,0,0,0,0,0,5636,571,0
